locationID,created,waterLevel
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T18:25:01+09:00,75
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T18:20:01+09:00,75
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T18:15:01+09:00,75
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T18:10:01+09:00,75
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T18:05:01+09:00,75
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T18:00:01+09:00,75
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T17:55:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T17:50:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T17:45:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T17:40:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T17:35:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T17:30:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T17:25:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T17:20:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T17:15:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T17:10:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T17:05:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T17:00:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T16:55:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T16:50:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T16:45:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T16:40:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T16:35:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T16:30:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T16:25:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T16:20:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T16:15:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T16:10:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T16:05:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T15:55:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T15:50:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T15:45:02+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T15:40:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T15:35:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T15:30:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T15:25:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T15:20:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T15:15:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T15:10:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T15:05:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T15:00:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T14:55:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T14:50:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T14:40:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T14:35:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T14:30:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T14:25:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T14:20:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T14:15:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T14:10:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T14:05:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T14:00:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T13:55:02+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T13:50:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T13:45:02+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T13:40:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T13:35:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T13:30:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T13:25:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T13:20:02+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T13:15:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T13:10:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T13:05:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T13:00:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T12:55:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T12:50:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T12:45:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T12:40:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T12:35:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T12:30:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T12:20:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T12:15:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T12:05:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T12:00:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T11:55:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T11:45:01+09:00,76
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T11:40:01+09:00,75
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T11:35:01+09:00,75
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T11:30:01+09:00,75
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T11:25:01+09:00,75
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T11:20:02+09:00,75
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T11:15:01+09:00,75
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T11:10:01+09:00,75
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T11:05:01+09:00,75
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T11:00:01+09:00,75
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T10:55:01+09:00,75
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T10:50:01+09:00,75
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T10:45:01+09:00,75
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T10:40:01+09:00,75
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T10:35:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T10:30:02+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T10:25:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T10:20:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T10:15:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T10:10:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T10:05:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T10:00:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T09:55:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T09:50:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T09:45:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T09:40:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T09:35:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T09:30:02+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T09:25:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T09:20:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T09:15:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T09:10:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T09:05:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T09:00:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T08:55:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T08:50:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T08:45:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T08:40:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T08:35:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T08:30:01+09:00,73
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T08:25:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T08:20:01+09:00,74
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T08:15:01+09:00,73
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T08:10:01+09:00,73
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T08:05:01+09:00,73
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T08:00:01+09:00,73
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T07:55:01+09:00,73
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T07:50:01+09:00,73
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T07:45:01+09:00,73
http://odp.jig.jp/jp/fukui/sabae/waterlevelsensor/1,2017-10-15T07:35:01+09:00,73
